id,batting_average,batting_strike_rate,batting_100s_normalized,batting_50s_normalized,batting_6s_normalized,batting_4s_normalized,batting_highest_score,batting_not_outs_normalized,bowling_average,bowling_strike_rate,bowling_economy,bowling_maidens_normalized,identifier
352292,9.0,108.62,0.0,0.0,0.4285714285714285,1.0,17.0,0.0,0.0,0.0,0.0,0.0,a216a585
783423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36.0,8.83,0.0,195fb6db
1204641,10.66,106.66,0.0,0.0,0.4285714285714285,0.7142857142857143,36.0,0.1428571428571428,41.5,39.0,6.38,0.0,a0a32dd1
1328734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,36.0,8.66,0.0,da3b91fd
40563,21.73,135.13,0.0,0.125,0.9166666666666666,2.458333333333333,72.0,0.0416666666666666,0.0,0.0,0.0,0.0,3eb7c45d
40618,19.0,105.55,0.0,0.0,0.25,0.25,0.0,0.75,15.04,13.4,6.73,0.0,acee4cc4
1217291,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,28.2,22.8,7.42,0.0,5e67d4e0
280734,9.15,88.8,0.0,0.0,0.2307692307692307,1.0769230769230769,36.0,0.0,0.0,0.0,0.0,0.0,5fbe14fc
40570,0.0,73.33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,b9a3d8c6
637526,14.35,95.68,0.0,0.0,0.5,0.3888888888888889,36.0,0.0555555555555555,28.12,22.8,7.39,0.0330578512396694,1c5c3dce
960363,8.25,66.0,0.0,0.0,0.0,1.25,22.0,0.0,0.0,0.0,0.0,0.0,ed547c49
1270816,34.83,177.11,0.0,0.25,2.9166666666666665,2.9166666666666665,71.0,0.0,10.5,10.5,6.0,0.0,e1824e7d
307617,10.83,108.33,0.0,0.0,0.1818181818181818,0.3636363636363636,0.0,0.4545454545454545,15.4,12.5,7.37,0.0,b9fd3959
9062,26.85,115.33,0.0,0.125,0.25,2.875,0.0,0.125,0.0,0.0,0.0,0.0,33155d1b
208253,9.5,91.56,0.0,0.0,0.75,0.5,34.0,0.0,17.27,14.7,7.03,0.0,5c124657
1163157,24.5,111.36,0.0,0.25,0.5,3.25,52.0,0.0,8.5,15.0,3.4,0.2,f817b1b1
345279,24.0,75.47,0.0,0.0,0.1666666666666666,2.0,41.0,0.1666666666666666,18.0,13.1,8.22,0.0,244009ae
23850,25.5,130.76,0.0,0.0,1.0,1.5,37.0,0.0,0.0,0.0,0.0,0.0,1fb2f362
720471,30.16,131.15,0.0,0.2105263157894736,1.105263157894737,3.1052631578947367,89.0,0.0526315789473684,0.0,0.0,0.0,0.0,752f7486
236779,8.0,88.88,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,50.0,34.7,8.63,0.0,5bb1a1c4
1284540,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,20.4,19.2,6.37,0.0,056b433b
1318856,9.0,79.41,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,70abbb67
1217806,2.5,31.25,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,caa18d8b
1280689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2851a1fc
1271977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,0.0,4ee5ded2
559066,9.83,113.46,0.0,0.0,0.3888888888888889,0.4444444444444444,19.0,0.3333333333333333,22.07,16.3,8.09,0.0,641ac5ff
1338610,11.2,88.88,0.0,0.0,0.2,0.8,26.0,0.0,16.66,16.0,6.25,0.0,c988daa1
1286499,5.57,50.64,0.0,0.0,0.0,0.4285714285714285,14.0,0.0,0.0,0.0,16.5,0.0,4d2b96b4
1318207,0.0,57.14,0.0,0.0,0.0,0.0,0.0,1.0,73.5,53.0,8.32,0.0,711e73ac
328026,18.28,137.63,0.0,0.04,0.56,0.64,0.0,0.44,33.88,23.3,8.7,0.0095147478591817,ac5ae4af
509107,1.0,33.33,0.0,0.0,0.0,0.0,1.0,0.0,16.11,10.6,9.06,0.0625,7429c452
1082743,4.0,100.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,12.5,0.0,27320242
